Service Request#;Incident Date;BLDG#;Street;Boro;Zip;Cross Streets;Cleaning Methods;San Dist;CB;Precinct;Council Dist;City Owned;xcoord;ycoord;On Roll Down Gate;Cherry Picker;Above 3rd Floor;LM
G54028;4/29/2010;69;WILSON AVENUE;BROOKLYN;11237;JEFFERSON STREET / TROUTMAN STREET;"Paint No preference Beige; ";304;4;83;34;FALSE;1004199;195148;No;No;No;FALSE
G66848;1/10/2011;546;ISHAM STREET;MANHATTAN;10034;SHERMAN AVENUE / VERMILYEA AVENUE;;112;12;34;10;FALSE;1006553;255142;No;No;No;FALSE
G70095;4/8/2011;4847;BROADWAY;MANHATTAN;10034;ACADEMY STREET / WEST  204 STREET;"Paint Gray ; ";112;12;34;07;FALSE;1005030;255043;No;No;No;FALSE
G79515;10/21/2011;1014A;WESTCHESTER AVENUE;BRONX;10459;FOX STREET / EAST  165 STREET;;202;2;41;17;FALSE;1013752;239345;Yes;No;No;FALSE
G83158;1/31/2012;344;AVENUE U;BROOKLYN;11223;MC DONALD AVENUE / WEST STREET;;315;15;61;47;FALSE;992089;156688;No;No;No;FALSE
G128005;1/23/2015;237;WEST  138 STREET;MANHATTAN;10030;ADAM CLAYTON POWELL JR BOULEVARD / FREDERICK DOUGLASS BOULEVARD;;110;10;32;09;FALSE;999838;237322;No;No;No;FALSE
G128034;1/23/2015;7623;5 AVENUE;BROOKLYN;11209;76 STREET / 77 STREET;;310;10;68;43;FALSE;977883;168069;No;No;No;FALSE
G128230;1/28/2015;410;54 STREET;BROOKLYN;11220;4 AVENUE / 5 AVENUE;;307;7;72;38;FALSE;980166;173858;No;No;No;FALSE
G128242;1/28/2015;570;WEST  161 STREET;MANHATTAN;10032;AMSTERDAM AVENUE / BROADWAY;;112;12;33;07;FALSE;1000206;243862;No;No;No;FALSE
G128363;1/28/2015;39-19;FRANCIS LEWIS BOULEVARD;QUEENS;11361;LIRR PORT WASHINGTON LINE / STATION ROAD;;411;11;111;19;FALSE;1043867;216870;No;No;No;FALSE
G128459;1/30/2015;251;EAST   35 STREET;MANHATTAN;10016;QUEENS MIDTOWN TUNNEL EXIT / 2 AVENUE;;106;6;17;04;FALSE;991018;210937;Yes;No;No;FALSE
G128461;1/30/2015;1071;OGDEN AVENUE;BRONX;10452;WEST  165 STREET / WEST  166 STREET;;204;04;44;08;FALSE;1004025;243504;Yes;No;No;FALSE
G128462;1/30/2015;1055;OGDEN AVENUE;BRONX;10452;WEST  165 STREET / WEST  166 STREET;;204;4;44;17;FALSE;1003977;243377;Yes;No;No;FALSE
G128464;1/30/2015;1416;INWOOD AVENUE;BRONX;10452;WEST  170 STREET / MACOMBS ROAD;;204;4;44;16;FALSE;1006801;245633;No;No;No;FALSE
G128465;1/30/2015;1419;INWOOD AVENUE;BRONX;10452;WEST  170 STREET / MACOMBS ROAD;;204;04;44;16;FALSE;1006728;245797;Yes;No;No;FALSE
G128466;1/30/2015;45;GOBLE PLACE;BRONX;10452;INWOOD AVENUE / JEROME AVENUE;;204;04;44;14;FALSE;1007216;246885;Yes;No;No;FALSE
G128468;1/30/2015;1431;OGDEN AVENUE;BRONX;10452;BEND / DR M L KING JR BOULEVARD;;204;4;44;16;FALSE;1005244;246420;No;No;No;FALSE
G128470;1/30/2015;379;EAST  169 STREET;BRONX;10456;TELLER AVENUE / CLAY AVENUE;;204;4;44;16;FALSE;1009229;243290;Yes;No;No;FALSE
G128471;1/30/2015;363;EAST  169 STREET;BRONX;10456;FINDLAY AVENUE / TELLER AVENUE;;204;04;44;16;FALSE;1009003;243414;No;No;No;FALSE
G128473;1/30/2015;27;EAST  169 STREET;BRONX;10452;GERARD AVENUE / WALTON AVENUE;;204;04;44;16;FALSE;1006774;244483;Yes;No;No;FALSE
G128479;1/30/2015;494;BERGEN AVENUE;BRONX;10455;EAST  147 STREET / EAST  148 STREET;;201;01;40;08;FALSE;1006912;236111;Yes;No;No;FALSE
G128485;1/30/2015;1662;WHITEPLAINS ROAD;BRONX;10462;BAKER AVENUE / MEAD STREET;;211;11;49;13;FALSE;1021602;246474;No;No;No;FALSE
G128490;1/30/2015;1549;WHITE PLAINS ROAD;BRONX;10462;ARCHER STREET / GUERLAIN STREET;;209;09;43;18;FALSE;1021854;245015;No;No;No;FALSE
G128491;1/30/2015;1548;WHITE PLAINS ROAD;BRONX;10462;ARCHER STREET / GUERLAIN STREET;;209;09;43;18;FALSE;1022030;245087;No;No;No;FALSE
G128492;1/30/2015;1511;WHITE PLAINS ROAD;BRONX;10462;ARCHER STREET / GUERLAIN STREET;;209;9;43;18;FALSE;1021905;244635;No;No;No;FALSE
G128493;1/30/2015;1420;WHITE PLAINS ROAD;BRONX;10462;WOOD AVENUE / ARCHER STREET;;209;09;43;18;FALSE;1022177;243963;Yes;No;No;FALSE
G128494;1/30/2015;1406;WHITEPLAINS ROAD;BRONX;10462;WOOD AVENUE / ARCHER STREET;;209;9;43;18;FALSE;1022204;243767;No;No;No;FALSE
G128496;1/30/2015;1878;CROSS BRONX EXPRESSWAY;BRONX;10472;CROSS BRONX EXPWY NB ET    5 A / WHITE PLAINS ROAD;;209;9;43;18;FALSE;1022121;242960;Yes;No;No;FALSE
G128497;1/30/2015;1217;WHITE PLAINS ROAD;BRONX;10472;GLEASON AVENUE / WESTCHESTER AVENUE;;209;9;43;18;FALSE;1022327;242055;Yes;No;No;FALSE
G128501;1/30/2015;248;WEST FORDHAM ROAD;BRONX;10468;LANDING ROAD / HAMPDEN PLACE;;207;07;52;14;FALSE;1009012;253185;Yes;No;No;FALSE
G128502;1/30/2015;250;WEST FORDHAM ROAD;BRONX;10468;LANDING ROAD / HAMPDEN PLACE;;207;07;52;14;FALSE;1008966;253143;Yes;No;No;FALSE
G128503;1/30/2015;734;ASTOR AVENUE;BRONX;10467;CRUGER AVENUE / HOLLAND AVENUE;;211;11;49;13;FALSE;1021261;252387;Yes;No;No;FALSE
G128504;1/30/2015;4467;BROADWAY;MANHATTAN;10040;FAIRVIEW AVENUE / WEST  192 STREET;;112;12;34;10;FALSE;1002914;251749;No;No;No;FALSE
G128516;1/30/2015;36;ORCHARD STREET;MANHATTAN;10002;CANAL STREET / HESTER STREET;;103;03;7;01;FALSE;986681;200065;Yes;No;No;FALSE
G128517;1/30/2015;51;ORCHARD STREET;MANHATTAN;10002;HESTER STREET / GRAND STREET;;103;03;7;01;FALSE;986663;200342;Yes;No;No;FALSE
G128518;1/30/2015;60;ORCHARD STREET;MANHATTAN;10002;HESTER STREET / GRAND STREET;;103;03;7;01;FALSE;986834;200409;Yes;No;No;FALSE
G128524;1/30/2015;4386;BROADWAY;MANHATTAN;10040;WEST  187 STREET / WEST  189 STREET;;112;12;34;10;FALSE;1002702;250517;Yes;No;No;FALSE
G128525;1/30/2015;216;DYCKMAN STREET;MANHATTAN;10040;VERMILYEA AVENUE / BROADWAY;;112;12;34;10;FALSE;1004331;254478;Yes;No;No;FALSE
G128533;1/30/2015;647;WEST  207 STREET;MANHATTAN;10034;COOPER STREET / SEAMAN AVENUE;;112;12;34;07;FALSE;1005914;255877;No;No;No;FALSE
G128540;1/30/2015;554;WEST  207 STREET;MANHATTAN;10034;SHERMAN AVENUE / VERMILYEA AVENUE;;112;12;34;10;FALSE;1006246;254787;Yes;No;No;FALSE
G128544;1/30/2015;125;NAGLE AVENUE;MANHATTAN;10040;SICKLES STREET / ARDEN STREET;;112;12;34;10;FALSE;1004527;252753;Yes;No;No;FALSE
G128546;1/30/2015;137;NAGLE AVENUE;MANHATTAN;10040;ARDEN STREET / THAYER STREET;;112;12;34;10;FALSE;1004636;252870;No;No;No;FALSE
G128547;1/30/2015;69;NAGLE AVENUE;MANHATTAN;10040;BENNETT AVENUE / ELLWOOD STREET;;112;12;34;10;FALSE;1004022;252570;No;No;No;FALSE
G128550;1/30/2015;25;SHERMAN AVENUE;MANHATTAN;10040;SICKLES STREET / ARDEN STREET;;112;12;34;10;FALSE;1004100;253490;Yes;No;No;FALSE
G128553;1/30/2015;49;THAYER STREET;MANHATTAN;10040;NAGLE AVENUE / SHERMAN AVENUE;;112;12;34;10;FALSE;1004555;253721;No;No;No;FALSE
G128560;1/30/2015;113;SHERMAN AVENUE;MANHATTAN;10034;DYCKMAN STREET / ACADEMY STREET;;112;12;34;10;FALSE;1005108;253959;No;No;No;FALSE
G128561;1/30/2015;168;WEST   22 STREET;MANHATTAN;10011;AVENUE OF THE AMERICAS / 7 AVENUE;;104;04;13;03;FALSE;985409;210002;No;No;No;FALSE
G128566;1/31/2015;43;AVENUE A;MANHATTAN;10009;EAST    3 STREET / EAST    4 STREET;;103;3;9;02;FALSE;988278;203039;Yes;No;No;FALSE
G128571;1/31/2015;185;5 AVENUE;BROOKLYN;11217;DE GRAW STREET / BERKELEY PLACE;;306;06;78;39;FALSE;989873;185946;No;No;No;FALSE
G128572;1/31/2015;185;5 AVENUE;BROOKLYN;11217;DE GRAW STREET / BERKELEY PLACE;;306;06;78;39;FALSE;989873;185946;No;No;No;FALSE
G128579;2/1/2015;221;BOWERY;MANHATTAN;10002;RIVINGTON STREET / PRINCE STREET;;103;03;5;01;FALSE;986175;202254;No;No;No;FALSE
G128580;2/1/2015;1492;MYRTLE AVENUE;BROOKLYN;11237;IRVING AVENUE / LINDEN STREET;;304;04;83;37;FALSE;1008069;193984;Yes;No;No;FALSE
G128581;2/1/2015;246;EAST   45 STREET;MANHATTAN;10017;3 AVENUE / 2 AVENUE;;106;06;17;04;FALSE;992243;213166;Yes;No;No;FALSE
G128582;2/1/2015;847;SECOND AVENUE;MANHATTAN;10017;EAST   45 STREET / EAST   46 STREET;;106;06;17;04;FALSE;992329;213344;Yes;No;No;FALSE
G128583;2/1/2015;249;EAST   45 STREET;MANHATTAN;10017;3 AVENUE / 2 AVENUE;;106;06;17;04;FALSE;992273;213243;Yes;No;No;FALSE
G128584;2/1/2015;89;EAST    3 STREET;MANHATTAN;10003;2 AVENUE / 1 AVENUE;;103;03;9;02;FALSE;987609;203408;No;No;No;FALSE
G128586;2/1/2015;377;BAY RIDGE AVENUE;BROOKLYN;11220;3 AVENUE / 4 AVENUE;;310;10;68;43;FALSE;977646;170577;Yes;No;No;FALSE
G128589;2/1/2015;106;DELANCEY STREET;MANHATTAN;10002;LUDLOW STREET / ESSEX STREET;;103;03;7;01;FALSE;987429;201219;No;No;No;FALSE
G128590;2/2/2015;2520;PARK AVENUE;BRONX;10451;EAST  135 STREET / EAST  138 STREET;;201;01;40;08;FALSE;1003596;235075;No;No;No;FALSE
G128596;2/2/2015;1469;BUSHWICK AVENUE;BROOKLYN;11207;PILLING STREET / GRANITE STREET;;304;04;83;37;FALSE;1009936;188390;No;No;No;FALSE
G128598;2/2/2015;176;BORINQUEN PLACE;BROOKLYN;11211;KEAP STREET / SOUTH    1 STREET;;301;1;90;34;FALSE;997229;198141;No;No;No;FALSE
G128599;2/3/2015;125;3 AVENUE;BROOKLYN;11217;ST MARK'S PLACE / WARREN STREET;;306;2;84;33;FALSE;989157;187950;No;No;No;FALSE
G128602;2/3/2015;121;ESSEX STREET;MANHATTAN;10002;DELANCEY STREET / RIVINGTON STREET;;103;3;7;01;FALSE;987600;201467;Yes;No;No;FALSE
G128609;2/3/2015;137;ORCHARD STREET;MANHATTAN;10002;DELANCEY STREET / RIVINGTON STREET;;103;03;7;01;FALSE;987145;201575;Yes;No;No;FALSE
G128610;2/3/2015;83;RIVINGTON STREET;MANHATTAN;10002;ALLEN STREET / ORCHARD STREET;;103;03;7;01;FALSE;987205;201677;Yes;No;No;FALSE
G128611;2/3/2015;201;EAST HOUSTON STREET;MANHATTAN;10002;ORCHARD STREET / LUDLOW STREET;;103;03;7;01;FALSE;987709;202403;Yes;No;No;FALSE
G128612;2/3/2015;159;LUDLOW STREET;MANHATTAN;10002;RIVINGTON STREET / STANTON STREET;;103;03;7;01;FALSE;987566;201975;No;No;No;FALSE
G128619;2/3/2015;211;SHERMAN AVENUE;MANHATTAN;10034;WEST  204 STREET / WEST  207 STREET;;112;12;34;10;FALSE;1006151;254467;Yes;No;No;FALSE
G128622;2/3/2015;1596;ST NICHOLAS AVENUE;MANHATTAN;10040;WEST  189 STREET / WEST  190 STREET;;112;12;34;10;FALSE;1003737;250641;Yes;No;No;FALSE
G128623;2/3/2015;1155;COMMERCE AVENUE;BRONX;10462;HAVILAND AVENUE / GLEASON AVENUE;;209;9;43;13;FALSE;1027709;242702;No;No;No;FALSE
G128628;2/3/2015;2303;HAVILAND AVENUE;BRONX;10462;HAVEMEYER AVENUE / ZEREGA AVENUE;;209;09;43;18;FALSE;1026488;242091;No;No;No;FALSE
G128629;2/3/2015;1118;HAVEMEYER AVENUE;BRONX;10462;WATSON AVENUE / HAVILAND AVENUE;;209;09;43;18;FALSE;1026526;241944;No;No;No;FALSE
G128631;2/3/2015;3964;LACONIA AVENUE;BRONX;10466;EAST  224 STREET / EAST  225 STREET;;212;12;47;12;FALSE;1025962;261299;No;No;No;FALSE
G128632;2/3/2015;3989;LACONIA AVENUE;BRONX;10466;EAST  225 STREET / EAST  226 STREET;;212;12;47;12;FALSE;1025911;261657;Yes;No;No;FALSE
G128634;2/3/2015;3912;DYRE AVENUE;BRONX;10466;EAST  233 STREET / DARK STREET;;212;12;47;12;FALSE;1031001;263472;Yes;No;No;FALSE
G128636;2/3/2015;4711;WHITE PLAINS ROAD;BRONX;10470;CRANFORD AVENUE / ST OUEN STREET;;212;12;47;11;FALSE;1025621;268634;No;No;No;FALSE
G128637;2/3/2015;4761;WHITE PLAINS ROAD;BRONX;10470;PENFIELD STREET / EAST 242 STREET;;212;12;47;11;FALSE;1025728;269112;Yes;No;No;FALSE
G128642;2/3/2015;3476;BOSTON ROAD;BRONX;10469;FENTON AVENUE / CORSA AVENUE;;212;12;47;12;FALSE;1026457;258577;No;No;No;FALSE
G128647;2/3/2015;708;EAST  243 STREET;BRONX;10470;WHITE PLAINS ROAD / BARNES AVENUE;;212;12;47;11;FALSE;1026043;269430;Yes;No;No;FALSE
G128649;2/3/2015;3964;BRONXWOOD AVENUE;BRONX;10466;EAST 224 STREET / EAST 225 STREET;;212;12;47;12;FALSE;1024456;261961;Yes;No;No;FALSE
G128650;2/3/2015;3401;BRONXWOOD AVENUE;BRONX;10469;MAGENTA STREET / EAST GUN HILL ROAD;;212;12;47;12;FALSE;1022497;258154;Yes;No;No;FALSE
G128652;2/3/2015;3809;BRONXWOOD AVENUE;BRONX;10469;EAST 219 STREET / EAST 220 STREET;;212;12;47;12;FALSE;1023772;260745;Yes;No;No;FALSE
G128653;2/3/2015;3202;BRONXWOOD AVENUE;BRONX;10469;BURKE AVENUE / SOUTH OAK DRIVE;;212;12;47;12;FALSE;1022654;256856;Yes;No;No;FALSE
G128658;2/3/2015;2501;JEROME AVENUE;BRONX;10468;EAST  190 STREET / WEST  192 STREET;;207;07;52;14;FALSE;1011773;254101;No;No;No;FALSE
G128660;2/3/2015;125;TERRACE VIEW AVENUE;BRONX;10463;TEUNISSEN PLACE / ADRIAN AVENUE;;208;08;50;10;FALSE;1008292;258546;No;No;No;FALSE
G128661;2/3/2015;131;TERRACE VIEW AVENUE;MANHATTAN;10463;TEUNISSEN PLACE / ADRIAN AVENUE;;208;08;50;10;FALSE;1008254;258436;No;No;No;FALSE
G128666;2/3/2015;390;14 STREET;BROOKLYN;11215;7 AVENUE / 8 AVENUE;;306;06;78;39;FALSE;988747;181002;No;No;No;FALSE
G128667;2/3/2015;80;SOUTH STREET;MANHATTAN;10038;FLETCHER STREET / JOHN STREET;;101;01;1;01;FALSE;983006;196365;No;No;No;FALSE
G128668;2/3/2015;106;SOUTH STREET;MANHATTAN;10038;BEEKMAN STREET / PECK SLIP;;101;01;1;01;FALSE;983625;196854;No;No;Yes;FALSE
G128669;2/3/2015;55;HARRISON STREET;MANHATTAN;10013;GREENWICH STREET / WEST STREET;;101;01;1;01;FALSE;981237;201417;No;No;No;FALSE
G128671;2/3/2015;155;6 AVENUE;MANHATTAN;10013;DOMINICK STREET / SPRING STREET;;102;02;1;03;FALSE;982890;203546;No;No;No;FALSE
G128675;2/4/2015;2063;EAST   29 STREET;BROOKLYN;11229;AVENUE T / AVENUE U;;315;15;61;46;FALSE;1000153;158266;No;No;No;FALSE
G128677;2/4/2015;700;RIVER AVENUE;BRONX;10451;EAST  153 STREET / EAST  157 STREET;;204;4;44;17;FALSE;1004238;239512;Yes;No;No;FALSE
G128681;2/4/2015;1225;EDWARD L GRANT HIGHWAY;BRONX;10452;CROMWELL AVENUE / JEROME AVENUE;;204;04;44;16;FALSE;1005626;244022;Yes;No;No;FALSE
G128683;2/4/2015;1263;JEROME AVENUE;BRONX;10452;RIVER AVENUE / RIVER AVENUE;;204;04;44;16;FALSE;1006145;244393;Yes;No;No;FALSE
G128691;2/4/2015;1349;LEXINGTON AVENUE;MANHATTAN;10128;EAST   89 STREET / EAST   90 STREET;;108;08;19;05;FALSE;997122;224084;No;No;No;FALSE
G128692;2/4/2015;517;WEST  158 STREET;MANHATTAN;10032;AMSTERDAM AVENUE / BROADWAY;;112;12;33;07;FALSE;1000192;243159;No;No;No;FALSE
G128695;2/4/2015;4462;PARK AVENUE;BRONX;10457;EAST  181 STREET / EAST  182 STREET;;206;6;48;15;FALSE;1013261;250424;No;No;No;FALSE
G128697;2/4/2015;110;EAST  170 STREET;BRONX;10452;WALTON AVENUE / WYTHE PLACE;;204;4;44;14;FALSE;1007637;244996;Yes;No;No;FALSE
G128699;2/4/2015;151;EAST  170 STREET;BRONX;10452;WYTHE PLACE / GRAND CONCOURSE;;204;4;44;14;FALSE;1007863;245104;Yes;No;No;FALSE
G128700;2/4/2015;140;EAST  170 STREET;BRONX;10452;WYTHE PLACE / GRAND CONCOURSE;;204;4;44;14;FALSE;1007816;244897;Yes;No;No;FALSE
G128712;2/4/2015;270;IRVING AVENUE;BROOKLYN;11237;MENAHAN STREET / GROVE STREET;;304;4;83;37;FALSE;1007649;194117;No;No;No;FALSE
G128714;2/4/2015;1118;BEDFORD AVENUE;BROOKLYN;11216;QUINCY STREET / GATES AVENUE;;303;03;79;36;FALSE;996797;189318;Yes;No;No;FALSE
G128716;2/4/2015;59-60;55 ROAD;QUEENS;11378;MAURICE AVENUE / BORDEN AVENUE;"Powerwash; ";405;05;104;30;FALSE;1010095;203898;No;No;No;FALSE
G128717;2/4/2015;301;EAST 76 STREET;MANHATTAN;10021;2 AVENUE / 1 AVENUE;;108;08;19;05;FALSE;996407;220308;No;No;No;FALSE
G128718;2/4/2015;128-04;ROCKAWAY BOULEVARD;QUEENS;11420;128 STREET / 130 STREET;;410;10;106;28;FALSE;1037050;185189;Yes;No;No;FALSE
G128721;2/4/2015;143-45;SANFORD AVENUE;QUEENS;11355;BOWNE STREET / PARSONS BOULEVARD;;407;07;109;20;FALSE;1033657;215819;No;No;No;FALSE
G128723;2/4/2015;21-01;21 AVENUE;QUEENS;11105;21 STREET / 23 STREET;;401;01;114;22;FALSE;1008047;224283;No;No;No;FALSE
G128725;2/4/2015;19;WOODHULL STREET;BROOKLYN;11231;HAMILTON AVENUE / COLUMBIA STREET;;306;06;76;39;FALSE;983038;187710;No;No;No;FALSE
G128726;2/4/2015;4424;17 AVENUE;BROOKLYN;11204;44 STREET / 45 STREET;;312;12;66;44;FALSE;989553;169542;No;No;No;FALSE
G128727;2/4/2015;57-16;99 STREET;QUEENS;11368;57 AVENUE / 58 AVENUE;;404;4;110;25;FALSE;1023032;208048;No;No;No;FALSE
G128731;2/4/2015;1350;FINDLAY AVENUE;BRONX;10456;EAST  169 STREET / BEND;;204;04;44;16;FALSE;1009193;244027;Yes;No;No;FALSE
G128732;2/4/2015;2270;LORING PLACE NORTH;BRONX;10468;WEST  183 STREET / WEST FORDHAM ROAD;;207;07;52;14;FALSE;1009491;252900;No;No;No;FALSE
G128735;2/4/2015;137;WOOSTER STREET;MANHATTAN;10012;PRINCE STREET / WEST HOUSTON STREET;;102;02;1;01;FALSE;984209;203749;No;No;No;FALSE
G128736;2/4/2015;74-09;37 AVENUE;QUEENS;11372;74 STREET / 75 STREET;;403;3;115;25;FALSE;1014361;212267;No;No;No;FALSE
G128737;2/4/2015;92-30;165 STREET;QUEENS;11433;JAMAICA AVENUE / ARCHER AVENUE;;412;12;103;27;FALSE;1041189;195907;No;No;No;FALSE
G128738;2/4/2015;38-08;147 STREET;QUEENS;11354;38 AVENUE / ROOSEVELT AVENUE;"Powerwash; ";407;07;109;20;FALSE;1034315;217434;Yes;No;No;FALSE
G128741;2/4/2015;511;WEST  181 STREET;MANHATTAN;10033;AMSTERDAM AVENUE / AUDUBON AVENUE;;112;12;34;10;FALSE;1003219;248464;No;No;No;FALSE
G128742;2/4/2015;4308;BROADWAY;MANHATTAN;10033;WEST  183 STREET / WEST  184 STREET;;112;12;34;10;FALSE;1002349;249591;No;No;No;FALSE
G128744;2/4/2015;623;WEST  204 STREET;MANHATTAN;10034;SHERMAN AVENUE / VERMILYEA AVENUE;;112;12;34;10;FALSE;1005780;254765;No;No;No;FALSE
G128745;2/4/2015;539;WEST  179 STREET;MANHATTAN;10033;AUDUBON AVENUE / ST NICHOLAS AVENUE;;112;12;34;10;FALSE;1002509;248219;Yes;No;No;FALSE
G128751;2/4/2015;654;WESTCHESTER AVENUE;BRONX;10455;TRINITY AVENUE / JACKSON AVENUE;;201;1;40;17;FALSE;1009582;236521;No;No;No;FALSE
G128753;2/4/2015;804;WESTCHESTER AVENUE;BRONX;10455;UNION AVENUE / EAST  158 STREET;;201;1;40;17;FALSE;1011078;237519;Yes;No;No;FALSE
G128754;2/4/2015;1423;GRAVESEND NECK ROAD;BROOKLYN;11229;EAST   14 STREET / EAST   15 STREET;;315;15;61;48;FALSE;996521;156059;Yes;No;No;FALSE
G128755;2/4/2015;1501;GRAVESEND NECK ROAD;BROOKLYN;11229;EAST   15 STREET / NYCTA SUBWAY;;315;15;61;48;FALSE;996595;156071;Yes;No;No;FALSE
G128757;2/4/2015;11-65;BEACH CHANNEL DRIVE;QUEENS;11691;ROCKAWAY FREEWAY / MOTT AVENUE;;414;14;101;31;FALSE;1052078;159869;No;No;No;FALSE
G128758;2/4/2015;609;GRAND STREET;BROOKLYN;11211;LORIMER STREET / LEONARD STREET;;301;01;90;34;FALSE;998722;198506;No;No;No;FALSE
G128759;2/4/2015;451;CONVENT AVENUE;MANHATTAN;10031;WEST  149 STREET / WEST  150 STREET;;109;9;30;07;FALSE;999775;240757;No;No;No;FALSE
G128760;2/5/2015;37-49;102 STREET;QUEENS;11368;37 AVENUE / 39 AVENUE;;403;03;115;21;FALSE;1021820;213197;No;No;No;FALSE
G128761;2/5/2015;930;EAST  233 STREET;BRONX;10466;DIGNEY AVENUE / EDENWALD AVENUE;;212;12;47;12;FALSE;1025569;263914;No;No;No;FALSE
G128764;2/5/2015;1940;86 STREET;BROOKLYN;11214;BAY   22 STREET / BAY   23 STREET;;311;11;62;47;FALSE;984352;159726;Yes;No;No;FALSE
G128766;2/5/2015;1938;86 STREET;BROOKLYN;11214;BAY 22 STREET / BAY 23 STREET;;311;11;62;43;FALSE;984329;159744;No;No;Yes;FALSE
G128771;2/5/2015;551;MIDLAND AVENUE;STATEN ISLAND;10306;FREEBORN STREET / OLYMPIA BOULEVARD;"Paint Other Brown; ";502;2;122;50;FALSE;958237;148095;Yes;No;No;FALSE
G128772;2/5/2015;59-17;39 AVENUE;QUEENS;11377;59 STREET / 60 STREET;;402;02;108;26;FALSE;1010928;211696;No;No;No;FALSE
G128775;2/5/2015;13;LOMBARDY STREET;BROOKLYN;11222;KINGSLAND AVENUE / MORGAN AVENUE;;301;01;94;34;FALSE;1000945;202434;No;No;No;FALSE
G128777;2/5/2015;947;WESTCHESTER AVENUE;BRONX;10459;INTERVALE AVENUE / KELLY STREET;;202;02;41;17;FALSE;1012918;238993;Yes;No;No;FALSE
G128782;2/5/2015;41-05;NEWTOWN ROAD;QUEENS;11103;41 STREET / 42 STREET;;401;01;114;22;FALSE;1007804;216974;No;No;No;FALSE
G128784;2/5/2015;116-35;METROPOLITAN AVENUE;QUEENS;11418;GROSVENOR LANE / 83 AVENUE;;409;9;102;29;FALSE;1029922;197059;No;No;No;FALSE
G128787;2/5/2015;463;WEST  125 STREET;MANHATTAN;10027;BEND / AMSTERDAM AVENUE;;109;09;26;07;FALSE;996524;235536;No;No;No;FALSE
G128789;2/5/2015;702;GREENWOOD AVENUE;BROOKLYN;11218;EAST    7 STREET / SHERMAN STREET;;307;07;72;39;FALSE;991273;176671;No;No;No;FALSE
G128790;2/5/2015;59;LOUISA STREET;BROOKLYN;11218;DAHILL ROAD / STORY STREET;;312;12;66;39;FALSE;989370;173505;No;No;No;FALSE
G128794;2/5/2015;350;WEST   42 STREET;MANHATTAN;10036;8 AVENUE / 9 AVENUE;;104;04;14;03;FALSE;986393;215423;Yes;No;No;FALSE
G128796;2/5/2015;35-56;90 STREET;QUEENS;11372;35 AVENUE / 37 AVENUE;;403;03;115;25;FALSE;1018264;212877;No;No;No;FALSE
G128801;2/6/2015;45-01;20 AVENUE;QUEENS;11105;45 STREET / 46 STREET;;401;01;114;22;FALSE;1012568;221547;No;No;No;FALSE
G128802;2/6/2015;749;BROADWAY;BROOKLYN;11206;GRAHAM AVENUE / FLUSHING AVENUE;;301;01;90;34;FALSE;1000439;194768;No;No;No;FALSE
G128806;2/7/2015;8418;5 AVENUE;BROOKLYN;11209;84 STREET / 85 STREET;;310;10;68;43;FALSE;977090;166086;Yes;No;No;FALSE
G128809;2/7/2015;96-43;CORONA AVENUE;QUEENS;11368;97 STREET / ALSTYNE AVENUE;;404;04;110;21;FALSE;1021242;209992;No;No;No;FALSE
G128812;2/7/2015;16;WEST   18 STREET;MANHATTAN;10011;5 AVENUE / AVENUE OF THE AMERICAS;;105;5;13;03;FALSE;986140;208461;Yes;No;No;FALSE
G128814;2/7/2015;7901;5 AVENUE;BROOKLYN;11209;79 STREET / 80 STREET;;310;10;68;43;FALSE;977675;167444;No;No;No;FALSE
G128815;2/7/2015;7904;5 AVENUE;BROOKLYN;11209;79 STREET / 80 STREET;;310;10;68;43;FALSE;977539;167525;No;No;No;FALSE
G128816;2/7/2015;7920;5 AVENUE;BROOKLYN;11209;79 STREET / 80 STREET;;310;10;68;43;FALSE;977502;167401;No;No;No;FALSE
G128818;2/7/2015;133-24;SANFORD AVENUE;QUEENS;11355;FRAME PLACE / MAIN STREET;;407;07;109;20;FALSE;1031424;214688;No;Yes;No;FALSE
G128819;2/7/2015;54;WEST  126 STREET;MANHATTAN;10027;5 AVENUE / LENOX AVENUE;;110;10;28;09;FALSE;999722;233485;No;No;No;FALSE
G128820;2/7/2015;52;WEST  126 STREET;MANHATTAN;10027;5 AVENUE / LENOX AVENUE;;110;10;28;09;FALSE;999819;233539;No;No;No;FALSE
G128821;2/7/2015;313;WEST  125 STREET;MANHATTAN;10027;FREDERICK DOUGLASS BOULEVARD / ST NICHOLAS AVENUE;;110;10;28;09;FALSE;997575;234668;No;No;No;FALSE
G128823;2/7/2015;94-46;CORONA AVENUE;QUEENS;11373;94 STREET / JUNCTION BOULEVARD;;404;04;110;25;FALSE;1020657;209632;No;No;No;FALSE
G128824;2/8/2015;31-48;STEINWAY STREET;QUEENS;11103;31 AVENUE / BROADWAY;;401;01;114;22;FALSE;1006860;216240;No;No;No;FALSE
G128827;2/8/2015;30;EAST   33 STREET;MANHATTAN;10016;MADISON AVENUE / PARK AVENUE;;105;05;14;02;FALSE;988970;211303;No;No;No;FALSE
G128832;2/8/2015;432;PARK AVENUE SOUTH;MANHATTAN;10016;EAST   29 STREET / EAST   30 STREET;;105;5;14;02;FALSE;988747;210425;No;No;No;FALSE
